Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-01-09,356.399994,356.950012,351.774994,353.475006,308.774261,1192254
2012-01-10,356.000000,369.000000,356.000000,367.575012,321.091187,1834468
2012-01-11,369.299988,375.950012,365.649994,374.174988,326.856476,1661684
2012-01-12,373.000000,376.750000,366.575012,368.774994,322.139374,1161298
2012-01-13,371.950012,375.299988,364.174988,366.024994,319.737152,1705292
2012-01-16,365.000000,365.000000,355.500000,356.700012,311.591400,1629748
2012-01-17,358.450012,371.200012,358.250000,370.174988,323.362274,1807658
2012-01-18,381.075012,393.399994,379.350006,388.450012,339.326263,3201738
2012-01-19,394.500000,397.799988,391.174988,392.575012,342.929596,1797146
2012-01-20,395.299988,399.500000,386.299988,396.674988,346.511078,1955612
2012-01-23,378.325012,389.899994,378.000000,385.500000,336.749298,2189912
2012-01-24,386.274994,395.899994,385.500000,391.575012,342.056061,1751154
2012-01-25,394.950012,397.399994,391.500000,395.049988,345.091553,1029606
2012-01-27,398.299988,412.500000,398.299988,408.799988,357.102783,1986812
2012-01-30,407.850006,409.399994,396.600006,397.725006,347.428375,1251686
2012-01-31,401.600006,409.200012,401.000000,407.725006,356.163696,1476176
2012-02-01,409.750000,416.500000,407.649994,415.149994,362.649750,2714952
2012-02-02,418.250000,421.174988,412.000000,414.299988,361.907196,1393868
2012-02-03,416.000000,419.700012,407.774994,418.875000,365.903687,1321604
2012-02-06,421.500000,424.500000,412.000000,416.375000,363.719818,1100992
2012-02-07,420.500000,426.200012,417.475006,422.375000,368.961060,2023892
2012-02-08,424.000000,432.225006,422.500000,429.024994,374.770050,1890896
2012-02-09,428.450012,429.850006,421.500000,426.325012,372.411560,1379732
2012-02-10,425.950012,429.450012,419.000000,421.075012,367.825439,884930
2012-02-13,421.399994,428.899994,420.674988,424.075012,370.446075,1568536
2012-02-14,423.500000,427.250000,421.600006,424.075012,370.446075,1223414
2012-02-15,427.200012,427.500000,416.700012,418.024994,365.161133,1365462
2012-02-16,414.950012,415.024994,402.549988,406.075012,354.722351,1909328
2012-02-17,412.000000,412.899994,404.975006,408.950012,357.233765,3106030
2012-02-21,408.950012,423.399994,407.549988,420.899994,367.672546,2216854
2012-02-22,424.450012,427.850006,415.149994,416.600006,363.916382,1649612
2012-02-23,417.000000,423.950012,414.500000,419.049988,366.056580,1678618
2012-02-24,417.350006,420.500000,407.549988,410.174988,358.303894,1051512
2012-02-27,410.500000,412.875000,382.875000,390.600006,341.204346,1851884
2012-02-28,395.350006,399.950012,394.000000,398.024994,347.690338,1180888
2012-02-29,402.950012,412.950012,402.350006,409.325012,357.561371,1971720
2012-03-01,406.350006,408.475006,400.600006,405.174988,353.936157,811898
2012-03-02,407.500000,408.975006,402.799988,407.174988,355.683258,910156
2012-03-05,407.500000,407.500000,397.274994,398.950012,348.498444,746004
2012-03-06,397.350006,404.500000,386.649994,388.250000,339.151520,1334860
2012-03-07,388.250000,388.250000,388.250000,388.250000,339.151520,0
2012-03-09,387.450012,389.850006,384.274994,386.799988,337.884857,865748
2012-03-12,394.750000,401.399994,390.500000,398.475006,348.083466,1076612
2012-03-13,402.000000,410.075012,401.500000,409.325012,357.561371,1130426
2012-03-14,413.549988,414.725006,403.174988,407.149994,355.661438,854596
2012-03-15,407.524994,410.475006,397.100006,399.024994,348.563873,1015852
2012-03-16,390.500000,398.950012,383.500000,385.975006,337.164246,1543816
2012-03-19,390.000000,391.000000,375.774994,377.450012,329.717316,1817324
2012-03-20,378.875000,383.200012,375.250000,380.200012,332.119598,918490
2012-03-21,380.000000,386.600006,377.549988,384.174988,335.591858,1027418
2012-03-22,383.000000,385.725006,367.000000,368.250000,321.680756,1854520
