Date,Open,High,Low,Close,Adj Close,Volume
1995-07-10,24.817499,24.864799,24.439301,24.533899,4.594600,2988972751
1995-07-11,null,null,null,null,null,null
1995-07-12,24.723000,25.006599,24.675699,25.006599,4.683124,3814050241
1995-07-13,25.053900,25.148399,24.912100,24.959299,4.674266,3284069714
1995-07-14,25.006599,25.243000,24.912100,25.053900,4.691984,2625803256
1995-07-17,25.101101,25.431999,25.101101,25.337500,4.745095,3056889268
1995-07-18,25.431999,25.526600,25.148399,25.243000,4.727396,3160423475
1995-07-19,25.101101,25.668400,24.959299,25.621099,4.798206,3487200234
1995-07-20,25.762899,26.188400,25.573900,25.904800,4.851336,4905987515
1995-07-21,25.810200,26.424700,25.762899,26.377501,4.939861,5979204983
1995-07-24,null,null,null,null,null,null
1995-07-25,26.708401,28.032000,26.613800,27.937401,5.231993,8135278134
1995-07-26,27.795601,28.362900,27.559299,27.559299,5.161184,9702460470
1995-07-27,27.606501,27.842899,27.370199,27.701099,5.187738,7843368877
1995-07-28,26.472000,26.661100,25.904800,26.093800,4.886732,12995256381
1995-07-31,25.526600,25.904800,25.053900,25.243000,4.727396,7058415496
1995-08-01,24.392099,25.526600,24.392099,25.384800,4.753954,5672905434
1995-08-02,25.573900,26.330200,25.573900,26.235701,4.913306,6990293517
1995-08-03,26.424700,26.424700,24.959299,25.148399,4.709681,10961693213
1995-08-04,24.770201,25.431999,24.581200,25.384800,4.753954,9204289575
1995-08-07,25.526600,25.810200,25.053900,25.053900,4.691984,7670543909
1995-08-08,24.959299,25.148399,24.392099,24.533899,4.594600,7911752642
1995-08-09,25.053900,25.243000,24.912100,25.053900,4.691984,4920554975
1995-08-10,null,null,null,null,null,null
1995-08-11,24.959299,25.053900,24.817499,24.912100,4.665427,2178415123
1995-08-14,24.864799,24.912100,24.628401,24.817499,4.647711,1634626845
1995-08-15,null,null,null,null,null,null
1995-08-16,24.817499,25.195700,24.817499,25.101101,4.700822,2385467936
1995-08-17,25.148399,25.431999,25.101101,25.290199,4.736237,2985947669
1995-08-18,null,null,null,null,null,null
1995-08-21,25.384800,25.479300,25.243000,25.290199,4.736237,2836846057
1995-08-22,25.243000,25.715700,25.148399,25.668400,4.807065,2937806829
1995-08-23,null,null,null,null,null,null
1995-08-24,25.526600,25.715700,25.195700,25.290199,4.736237,3213114101
1995-08-25,25.195700,25.195700,24.864799,24.959299,4.674266,3614143389
1995-08-28,24.912100,24.959299,24.581200,24.628401,4.612298,1846723929
1995-08-29,null,null,null,null,null,null
1995-08-30,null,null,null,null,null,null
1995-08-31,24.723000,24.959299,24.723000,24.959299,4.674266,3069190825
1995-09-01,24.912100,25.101101,24.817499,25.006599,4.683124,1792405999
1995-09-04,25.101101,25.148399,24.723000,24.770201,4.638853,2942872783
1995-09-05,24.675699,24.864799,24.486601,24.581200,4.603458,4264711227
1995-09-06,24.628401,25.195700,24.297501,25.101101,4.700822,6405442931
1995-09-07,25.431999,25.479300,24.912100,24.959299,4.674266,6202417390
1995-09-08,24.912100,25.195700,24.912100,25.195700,4.718537,2228202835
1995-09-11,25.148399,25.243000,25.053900,25.195700,4.718537,2025128638
1995-09-12,25.195700,25.337500,24.770201,24.817499,4.647711,2978569802
1995-09-13,24.675699,24.817499,24.486601,24.723000,4.630014,3004980562
1995-09-14,24.723000,24.959299,24.675699,24.723000,4.630014,1456185644
1995-09-15,24.723000,24.864799,24.675699,24.770201,4.638853,997356938
1995-09-18,24.770201,24.959299,24.675699,24.864799,4.656569,2047706747
1995-09-19,24.864799,25.053900,24.770201,25.006599,4.683124,2248555498
1995-09-20,25.053900,25.337500,24.959299,25.053900,4.691984,1601127241
1995-09-21,25.101101,25.290199,25.053900,25.195700,4.718537,983379422
1995-09-22,25.337500,25.431999,25.243000,25.290199,4.736237,1566265292
1995-09-25,25.479300,25.715700,25.384800,25.715700,4.815922,2062021940
1995-09-26,25.857500,26.141100,25.715700,26.141100,4.895588,3047276437
1995-09-27,25.668400,25.904800,25.384800,25.479300,4.771651,3332004563
1995-09-28,25.479300,25.715700,25.290199,25.621099,4.798206,2108130898
1995-09-29,25.573900,26.093800,25.526600,26.093800,4.886732,2284448460
1995-10-02,null,null,null,null,null,null
1995-10-03,null,null,null,null,null,null
1995-10-04,26.235701,26.708401,26.093800,26.661100,4.992973,4141484109
1995-10-05,27.228399,27.322901,26.330200,26.802900,5.019528,8409940196
1995-10-06,27.511999,27.606501,26.850201,26.944700,5.046084,5796335898
1995-10-09,26.944700,27.039301,26.519300,26.566601,4.975276,3576392276
1995-10-10,26.282900,26.472000,25.952000,26.093800,4.886732,4639319443
1995-10-11,25.904800,26.282900,25.715700,26.188400,4.904447,6424980621
1995-10-12,26.472000,26.472000,25.810200,25.857500,4.842478,3797714801
1995-10-13,25.904800,26.046600,25.715700,25.952000,4.860175,3600890677
1995-10-16,25.999300,25.999300,25.810200,25.952000,4.860175,2115839303
1995-10-17,25.952000,26.141100,25.431999,25.431999,4.762793,6126860427
1995-10-18,25.857500,25.999300,25.195700,25.384800,4.753954,4757816697
1995-10-19,25.148399,25.243000,24.817499,24.959299,4.674266,3336017292
